time_of_day,day_of_week,weather,ors_time,congestion_index,actual_travel_time,distance_km,congestion_index
Night,Thursday,Clear,39.33,0.96,37.77,27.95,0.92
Night,Wednesday,Rainy,55.48,1.08,70.3,43.65,0.86
Morning Peak,Friday,Rainy,19.42,1.66,40.75,23.64,0.93
Night,Saturday,Rainy,50.3,1.08,66.92,33.6,0.73
Morning Peak,Tuesday,Clear,16.53,1.41,23.31,37.74,0.82
Morning Peak,Saturday,Rainy,22.11,1.46,35.66,36.29,0.83
Morning Peak,Friday,Rainy,22.17,1.34,34.64,62.71,0.95
Midday,Saturday,Clear,53.87,1.15,61.95,16.54,0.95
Night,Sunday,Clear,19.95,1.06,21.19,13.01,0.92
Morning Peak,Saturday,Clear,49.35,1.46,72.22,15.36,0.8
Night,Monday,Clear,33.09,0.84,27.75,10.96,0.81
Midday,Saturday,Cloudy,59.95,1.02,61.19,6.91,0.91
Morning Peak,Saturday,Stormy,51.95,1.52,119.12,53.71,0.43
Evening Peak,Wednesday,Clear,46.99,1.27,59.46,4.51,0.75
Midday,Tuesday,Cloudy,53.54,1.1,59.1,12.36,0.93
Evening Peak,Wednesday,Stormy,41.7,1.53,93.8,12.63,0.93
Night,Wednesday,Clear,52.18,0.92,47.76,20.07,0.8
Night,Thursday,Rainy,23.06,0.98,29.36,26.18,0.79
Midday,Monday,Cloudy,14.89,1.15,17.13,8.24,0.82
Night,Wednesday,Cloudy,40.8,1.02,41.43,8.03,0.92
Evening Peak,Sunday,Clear,31.73,1.26,40.06,12.71,0.98
Morning Peak,Friday,Cloudy,31.32,1.76,55.13,14.12,0.77
Morning Peak,Sunday,Clear,36.34,1.62,58.93,26.98,0.4
Morning Peak,Friday,Rainy,28.07,1.44,51.3,19.7,0.85
Midday,Saturday,Clear,41.3,1.04,42.83,42.24,0.92
Night,Thursday,Rainy,11.53,0.84,10.83,21.05,0.86
Evening Peak,Monday,Clear,58.49,1.51,88.51,6.54,0.89
Night,Sunday,Clear,56.24,0.98,54.91,18.36,0.79
Night,Monday,Cloudy,56.76,0.91,51.89,6.23,0.95
Night,Sunday,Clear,28.25,0.9,25.42,30.04,0.37
Morning Peak,Saturday,Rainy,36.59,1.73,78.73,26.29,0.44
Evening Peak,Friday,Stormy,57.71,1.55,125.3,3.76,0.95
Evening Peak,Tuesday,Rainy,55.12,1.43,97.62,40.1,0.37
Night,Thursday,Clear,49.51,0.96,47.4,10.32,0.74
Morning Peak,Sunday,Cloudy,30.37,1.71,51.87,20.96,0.94
Morning Peak,Sunday,Cloudy,38.22,1.67,64.0,46.03,0.49
Evening Peak,Saturday,Rainy,49.65,1.36,82.61,23.43,0.86
Morning Peak,Thursday,Clear,23.65,1.34,31.72,28.9,0.79
Morning Peak,Friday,Clear,41.32,1.68,69.6,14.82,0.97
Morning Peak,Friday,Cloudy,51.4,1.38,71.15,22.3,0.78
Midday,Sunday,Clear,45.37,1.0,45.6,17.92,0.93
Night,Tuesday,Clear,33.97,1.05,35.77,13.25,0.69
Evening Peak,Tuesday,Clear,39.23,1.43,56.15,33.7,0.73
Evening Peak,Monday,Rainy,59.43,1.56,111.08,41.36,0.88
Midday,Thursday,Rainy,40.1,1.15,58.36,13.61,0.9
Night,Thursday,Cloudy,49.28,1.08,53.12,17.1,0.94
Evening Peak,Friday,Clear,46.33,1.34,62.16,26.12,0.91
Morning Peak,Monday,Clear,45.07,1.66,74.93,34.42,1.0
Evening Peak,Saturday,Stormy,45.82,1.32,91.51,21.41,0.89
Morning Peak,Thursday,Stormy,32.72,1.3,66.68,40.15,0.75
Midday,Monday,Rainy,33.71,1.11,43.42,10.01,0.9
Morning Peak,Monday,Rainy,33.39,1.67,65.18,8.42,0.9
Evening Peak,Sunday,Clear,11.66,1.26,14.7,7.79,0.89
Evening Peak,Friday,Rainy,22.05,1.4,37.85,21.53,0.93
Evening Peak,Monday,Clear,17.73,1.28,22.78,1.89,0.87
Midday,Tuesday,Clear,54.32,1.02,55.54,5.33,0.48
Midday,Tuesday,Rainy,23.75,1.19,36.4,8.69,0.87
Night,Wednesday,Clear,16.92,1.09,18.37,1.06,1.0
Evening Peak,Friday,Clear,15.99,1.32,21.17,9.27,0.76
Morning Peak,Sunday,Clear,45.0,1.59,71.56,39.61,0.38
Midday,Saturday,Clear,10.3,1.29,13.25,7.8,0.74
Evening Peak,Wednesday,Rainy,33.57,1.46,57.56,10.29,1.0
Evening Peak,Tuesday,Clear,15.94,1.47,23.42,43.79,0.9
Midday,Sunday,Clear,52.48,1.05,55.3,14.36,0.9
Night,Wednesday,Clear,57.92,0.95,54.9,17.52,0.84
Midday,Friday,Clear,57.94,1.11,64.32,40.7,0.77
Midday,Sunday,Clear,32.1,1.14,36.63,39.11,0.94
Morning Peak,Friday,Cloudy,42.23,1.7,71.8,13.71,0.88
Morning Peak,Monday,Clear,39.99,1.53,61.19,28.99,0.55
Night,Thursday,Rainy,27.5,0.82,24.92,30.53,0.87
Evening Peak,Monday,Stormy,32.2,1.56,72.13,18.97,0.81
Midday,Friday,Cloudy,13.22,1.16,15.38,8.05,0.86
Night,Sunday,Clear,49.78,1.08,53.64,38.32,0.59
Morning Peak,Tuesday,Clear,22.04,1.59,34.96,19.4,0.75
Midday,Saturday,Rainy,33.03,1.02,40.76,44.88,1.0
Evening Peak,Tuesday,Cloudy,34.03,1.42,48.36,25.81,0.91
Morning Peak,Sunday,Rainy,38.04,1.59,76.11,40.98,1.0
Morning Peak,Monday,Rainy,50.89,1.41,89.21,12.32,0.98
Morning Peak,Saturday,Rainy,44.59,1.54,88.53,46.45,0.78
Night,Sunday,Rainy,43.15,0.94,50.85,8.66,0.77
Evening Peak,Friday,Cloudy,36.34,1.45,52.66,43.7,0.91
Midday,Tuesday,Clear,14.8,1.08,15.95,2.51,0.89
Night,Friday,Stormy,30.1,0.97,40.76,4.06,1.0
Night,Saturday,Cloudy,57.87,0.87,50.48,45.54,1.0
Night,Saturday,Clear,59.78,0.93,55.83,29.49,0.42
Morning Peak,Tuesday,Cloudy,46.52,1.36,63.34,25.43,0.53
Evening Peak,Friday,Cloudy,21.38,1.21,25.97,5.89,0.84
Night,Wednesday,Rainy,15.09,0.9,16.62,12.56,0.77
Midday,Friday,Cloudy,30.74,1.08,33.27,23.08,0.97
Evening Peak,Saturday,Clear,52.83,1.36,71.99,21.0,0.81
Midday,Friday,Stormy,46.09,1.29,89.19,7.59,0.82
Evening Peak,Sunday,Rainy,54.19,1.41,99.23,50.7,0.65
Midday,Monday,Cloudy,40.79,1.17,47.56,36.51,0.83
Morning Peak,Wednesday,Clear,16.52,1.77,29.25,15.28,0.81
Night,Thursday,Clear,15.74,1.08,16.94,2.6,0.84
Midday,Sunday,Cloudy,12.4,1.27,15.69,22.56,0.72
Evening Peak,Monday,Clear,38.35,1.24,47.53,17.13,0.98
Night,Thursday,Clear,22.14,0.99,21.93,30.72,0.94
Night,Tuesday,Rainy,46.72,1.04,54.92,20.29,1.0
Evening Peak,Thursday,Clear,44.31,1.53,67.99,12.42,0.82
Midday,Sunday,Clear,25.91,1.17,30.4,3.28,0.83
Morning Peak,Friday,Clear,18.84,1.31,24.66,25.27,0.76
Morning Peak,Sunday,Clear,15.12,1.79,27.02,16.16,0.74
Midday,Thursday,Rainy,46.87,1.14,60.9,31.33,0.47
Night,Saturday,Clear,32.52,0.92,29.86,23.86,0.77
Night,Monday,Clear,26.18,0.92,24.04,51.14,1.0
Night,Monday,Cloudy,52.83,0.93,48.99,45.69,0.71
Night,Thursday,Stormy,39.68,0.87,46.63,30.59,0.9
Midday,Monday,Cloudy,35.9,1.1,39.43,7.48,0.9
Night,Saturday,Clear,47.17,1.1,51.68,6.16,0.92
Evening Peak,Sunday,Clear,50.78,1.35,68.41,13.05,0.84
Night,Monday,Rainy,44.3,0.96,51.69,42.33,0.48
Morning Peak,Thursday,Clear,32.0,1.72,55.17,14.47,0.81
Night,Wednesday,Cloudy,28.96,0.96,27.76,37.38,0.3
Midday,Wednesday,Clear,48.58,1.1,53.31,12.54,0.93
Morning Peak,Tuesday,Clear,35.9,1.56,56.06,27.75,0.81
Midday,Monday,Rainy,45.22,1.03,52.71,10.33,0.83
Midday,Sunday,Rainy,54.52,1.04,69.74,8.49,0.87
Morning Peak,Thursday,Cloudy,55.79,1.65,91.9,44.91,0.81
Midday,Monday,Clear,23.89,1.28,30.46,15.96,0.78
Midday,Friday,Clear,19.39,1.22,23.62,40.79,0.54
Night,Saturday,Cloudy,23.06,0.82,18.97,27.75,0.76
Evening Peak,Monday,Cloudy,47.57,1.36,64.75,23.09,0.62
Midday,Monday,Clear,28.5,1.0,28.52,62.71,0.59
Midday,Wednesday,Clear,18.67,1.15,21.53,23.12,0.97
Midday,Saturday,Clear,14.92,1.06,15.78,16.17,0.79
Night,Thursday,Stormy,26.37,1.06,43.09,11.57,0.84
Evening Peak,Monday,Rainy,16.81,1.24,24.76,27.26,0.97
Morning Peak,Wednesday,Rainy,17.82,1.3,28.09,15.77,0.8
Night,Tuesday,Clear,44.19,0.94,41.34,16.85,0.84
Night,Saturday,Stormy,10.99,0.85,14.64,25.89,0.52
Evening Peak,Wednesday,Clear,15.88,1.5,23.74,50.45,0.84
Evening Peak,Wednesday,Cloudy,52.22,1.57,81.88,18.6,1.0
Night,Sunday,Rainy,52.25,0.81,51.54,10.73,0.93
Morning Peak,Wednesday,Clear,26.46,1.5,39.63,12.73,1.0
Night,Sunday,Clear,14.4,1.1,15.82,23.19,0.8
Evening Peak,Monday,Clear,45.25,1.49,67.56,36.94,0.85
Morning Peak,Monday,Clear,28.01,1.78,49.76,25.71,0.38
Evening Peak,Tuesday,Cloudy,12.27,1.27,15.53,35.43,0.91
Morning Peak,Friday,Cloudy,17.89,1.41,25.24,32.85,0.98
Midday,Friday,Rainy,16.86,1.05,20.14,8.0,0.95
Evening Peak,Friday,Cloudy,39.46,1.32,52.12,38.26,0.83
Evening Peak,Sunday,Cloudy,54.91,1.49,81.8,10.23,0.94
Night,Saturday,Clear,49.65,0.85,42.18,13.65,0.82
Evening Peak,Saturday,Clear,37.33,1.41,52.62,25.5,0.36
Evening Peak,Tuesday,Stormy,31.11,1.31,57.07,43.36,0.64
Midday,Saturday,Clear,40.93,1.25,51.12,3.15,0.87
Evening Peak,Friday,Cloudy,32.19,1.2,38.71,16.44,0.47
Midday,Friday,Clear,22.3,1.07,23.8,20.21,0.8
Midday,Wednesday,Rainy,43.96,1.18,62.64,23.48,0.95
Midday,Saturday,Rainy,53.66,1.03,62.45,39.85,0.93
Midday,Monday,Clear,28.64,1.14,32.65,15.63,0.9
Morning Peak,Monday,Clear,52.08,1.52,79.06,6.6,0.85
Night,Wednesday,Cloudy,31.55,1.06,33.31,37.41,0.93
Morning Peak,Wednesday,Clear,30.07,1.61,48.49,20.74,0.78
Evening Peak,Wednesday,Clear,11.42,1.46,16.62,25.21,0.42
Morning Peak,Monday,Rainy,44.76,1.78,97.18,19.49,0.79
Morning Peak,Friday,Clear,50.38,1.79,90.23,33.76,0.43
Evening Peak,Wednesday,Rainy,43.18,1.46,82.02,39.2,0.3
Evening Peak,Tuesday,Cloudy,17.57,1.41,24.75,28.22,1.0
Evening Peak,Sunday,Clear,15.16,1.44,21.89,33.01,0.44
Morning Peak,Wednesday,Cloudy,38.64,1.49,57.63,54.56,0.88
Morning Peak,Sunday,Cloudy,30.08,1.79,53.95,21.02,0.82
Evening Peak,Thursday,Clear,31.45,1.48,46.62,36.52,0.72
Night,Wednesday,Clear,58.39,0.89,51.81,11.58,0.8
Night,Monday,Clear,46.2,0.82,37.76,34.57,0.86
Midday,Saturday,Clear,30.59,1.01,31.0,16.15,0.76
Evening Peak,Wednesday,Clear,10.95,1.28,14.04,6.38,0.32
Midday,Saturday,Clear,11.7,1.07,12.52,12.77,0.78
Night,Thursday,Clear,44.24,0.92,40.9,36.78,0.75
Midday,Tuesday,Cloudy,51.89,1.06,55.23,31.96,0.95
Evening Peak,Saturday,Cloudy,45.39,1.45,65.92,10.02,0.91
Evening Peak,Sunday,Cloudy,30.29,1.28,38.91,28.84,0.57
Evening Peak,Friday,Rainy,11.56,1.28,18.13,19.63,0.9
Morning Peak,Wednesday,Rainy,58.37,1.54,105.27,22.61,0.98
Midday,Thursday,Cloudy,59.32,1.27,75.13,35.48,0.39
Night,Thursday,Cloudy,37.47,0.94,35.24,25.42,0.8
Night,Saturday,Clear,13.53,0.92,12.51,23.54,0.89
Night,Tuesday,Rainy,37.05,0.97,42.06,27.53,1.0
Morning Peak,Monday,Clear,54.62,1.43,78.03,4.27,0.96
Morning Peak,Wednesday,Clear,44.0,1.48,64.97,4.36,0.25
Evening Peak,Thursday,Rainy,46.0,1.29,76.07,16.4,0.75
Night,Tuesday,Clear,14.25,0.97,13.84,45.64,0.56
Morning Peak,Friday,Clear,15.33,1.65,25.27,22.83,0.76
Evening Peak,Thursday,Cloudy,16.37,1.47,24.05,27.15,0.86
Night,Tuesday,Cloudy,55.22,0.88,48.4,17.45,0.79
Midday,Monday,Rainy,36.29,1.23,57.06,5.49,0.91
Evening Peak,Monday,Rainy,49.58,1.3,77.13,4.67,0.35
Morning Peak,Thursday,Clear,15.76,1.38,21.68,6.57,0.78
Morning Peak,Sunday,Clear,56.38,1.47,83.16,30.98,0.94
Evening Peak,Thursday,Cloudy,51.06,1.44,73.48,7.85,1.0
Evening Peak,Saturday,Clear,21.24,1.26,26.69,0.5,0.87
Morning Peak,Wednesday,Cloudy,53.71,1.62,87.23,29.89,0.87
Midday,Tuesday,Clear,23.17,1.26,29.17,6.39,0.97
Night,Thursday,Clear,20.27,0.89,18.0,12.82,1.0
Midday,Wednesday,Cloudy,23.21,1.14,26.35,31.75,0.75
Evening Peak,Saturday,Cloudy,55.5,1.29,71.67,3.48,0.98
Midday,Wednesday,Cloudy,55.78,1.11,61.82,7.07,0.81
Morning Peak,Thursday,Clear,26.45,1.31,34.68,25.83,0.92
Evening Peak,Monday,Clear,45.27,1.58,71.6,22.38,0.83
Night,Tuesday,Clear,43.79,0.92,40.49,27.33,0.98
Morning Peak,Tuesday,Clear,50.33,1.69,85.28,9.9,1.0
Morning Peak,Monday,Clear,24.83,1.37,34.04,5.35,0.89
Night,Sunday,Clear,35.51,1.04,37.06,27.2,0.45
Night,Thursday,Cloudy,43.38,1.06,45.9,19.79,0.98
Midday,Tuesday,Clear,11.31,1.21,13.74,36.55,0.95
Evening Peak,Thursday,Cloudy,28.84,1.56,45.02,22.25,0.45
Night,Saturday,Rainy,44.79,0.85,44.58,29.62,0.59
Night,Thursday,Clear,22.63,0.94,21.34,47.68,0.51
Evening Peak,Wednesday,Clear,57.89,1.45,83.82,24.5,0.82
Night,Monday,Clear,11.51,0.98,11.26,26.61,0.54
Night,Sunday,Cloudy,57.9,1.06,61.28,22.36,1.0
Midday,Thursday,Clear,20.84,1.06,22.19,28.18,0.34
Morning Peak,Sunday,Clear,12.44,1.39,17.27,14.97,0.86
Morning Peak,Sunday,Cloudy,24.62,1.43,35.13,15.68,0.87
Morning Peak,Saturday,Clear,49.31,1.75,86.09,4.2,0.91
Morning Peak,Friday,Cloudy,47.62,1.77,84.32,33.18,1.0
Night,Monday,Cloudy,20.44,0.97,19.85,37.32,0.53
Evening Peak,Sunday,Rainy,19.84,1.4,34.51,38.48,0.91
Evening Peak,Tuesday,Clear,42.13,1.44,60.76,24.85,0.94
Midday,Wednesday,Rainy,32.9,1.18,45.34,23.54,0.8
Midday,Tuesday,Rainy,49.61,1.05,58.61,1.9,0.71
Night,Saturday,Clear,11.21,1.01,11.27,30.91,0.88
Evening Peak,Saturday,Clear,40.52,1.38,55.96,8.37,0.88
Evening Peak,Tuesday,Clear,46.53,1.41,65.47,3.45,1.0
Morning Peak,Monday,Rainy,59.67,1.32,91.19,40.98,0.87
Night,Tuesday,Rainy,43.94,1.03,53.68,22.29,0.37
Night,Thursday,Cloudy,21.59,1.05,22.69,47.66,0.88
Morning Peak,Tuesday,Rainy,15.41,1.61,28.55,15.25,0.8
Night,Wednesday,Clear,42.05,1.02,43.08,22.93,0.98
Night,Wednesday,Clear,36.16,0.96,34.6,24.44,0.96
Midday,Friday,Rainy,54.96,1.19,74.49,25.2,0.34
Evening Peak,Wednesday,Rainy,46.33,1.36,69.28,33.64,0.76
Night,Tuesday,Clear,35.49,1.04,36.82,8.4,0.91
Midday,Wednesday,Rainy,30.18,1.14,42.2,26.08,0.81
Evening Peak,Monday,Stormy,30.22,1.47,66.03,3.18,0.81
Morning Peak,Sunday,Rainy,21.32,1.61,39.06,5.7,0.77
Midday,Wednesday,Rainy,10.87,1.21,16.95,31.2,0.93
Midday,Thursday,Rainy,38.75,1.24,56.58,12.13,1.0
Evening Peak,Monday,Clear,20.62,1.41,28.97,8.64,0.77
Morning Peak,Friday,Rainy,20.42,1.71,38.5,21.07,0.96
Midday,Thursday,Clear,16.27,1.15,18.7,26.03,0.42
Night,Tuesday,Rainy,19.48,1.09,24.22,11.23,0.88
Night,Sunday,Clear,11.59,1.03,11.89,29.89,0.56
Night,Tuesday,Cloudy,43.71,0.85,37.21,6.31,0.4
Morning Peak,Sunday,Clear,30.07,1.71,51.56,38.52,0.88
Midday,Sunday,Clear,38.08,1.17,44.38,35.98,0.53
Night,Tuesday,Clear,41.85,1.1,45.84,1.13,0.72
Morning Peak,Thursday,Stormy,58.62,1.66,146.66,0.87,1.0
Night,Thursday,Stormy,13.41,0.83,15.06,4.67,0.78
Evening Peak,Sunday,Clear,30.9,1.36,41.96,18.03,0.87
Midday,Thursday,Stormy,22.29,1.16,33.9,30.05,0.96
Midday,Sunday,Rainy,33.84,1.25,51.82,31.59,0.54
Morning Peak,Sunday,Cloudy,56.02,1.66,93.26,10.62,0.77
Morning Peak,Monday,Clear,46.2,1.48,68.59,6.38,0.6
Midday,Saturday,Rainy,43.1,1.2,62.04,4.81,0.91
Night,Monday,Cloudy,32.06,0.97,31.2,3.83,0.81
Night,Tuesday,Rainy,43.56,0.84,45.7,24.49,0.71
Evening Peak,Saturday,Rainy,11.62,1.29,18.86,3.32,0.98
Night,Wednesday,Rainy,39.31,0.9,45.83,32.44,0.86
Morning Peak,Tuesday,Cloudy,37.69,1.4,52.68,16.67,0.91
Morning Peak,Friday,Clear,27.33,1.38,37.58,18.61,0.81
Night,Monday,Clear,20.08,0.82,16.41,13.89,0.96
Morning Peak,Thursday,Clear,50.38,1.74,87.48,17.55,0.93
Midday,Monday,Clear,12.69,1.09,13.79,3.57,0.96
Midday,Thursday,Cloudy,13.48,1.09,14.66,5.47,0.89
Night,Saturday,Cloudy,32.03,0.86,27.6,36.57,0.76
Midday,Friday,Rainy,22.63,1.14,28.74,31.55,0.92
Midday,Saturday,Clear,47.27,1.15,54.57,24.38,0.87
Evening Peak,Friday,Cloudy,41.71,1.28,53.53,13.63,0.91
Evening Peak,Monday,Clear,48.63,1.44,70.19,24.95,0.93
Midday,Thursday,Clear,26.23,1.22,31.92,29.15,0.96
Night,Saturday,Clear,47.03,0.91,42.89,10.8,1.0
Evening Peak,Friday,Rainy,53.12,1.43,84.39,4.29,0.91
Morning Peak,Sunday,Clear,27.26,1.55,42.29,16.46,0.8
Morning Peak,Tuesday,Rainy,26.99,1.4,48.96,21.57,0.92
Morning Peak,Tuesday,Clear,55.0,1.67,91.57,20.84,0.77
Night,Saturday,Rainy,12.49,1.04,15.97,19.8,0.77
Midday,Thursday,Rainy,27.51,1.19,40.85,17.7,0.9
Morning Peak,Sunday,Stormy,15.93,1.46,30.96,8.77,0.89
Night,Saturday,Rainy,11.45,1.08,13.75,20.71,0.94
Evening Peak,Monday,Rainy,15.64,1.38,24.48,35.83,0.67
Midday,Friday,Rainy,31.56,1.08,40.4,40.69,0.53
Evening Peak,Monday,Cloudy,44.35,1.36,60.46,7.8,0.93
Night,Tuesday,Clear,24.46,1.01,24.65,48.67,0.25
Morning Peak,Friday,Clear,52.48,1.72,90.43,41.55,0.22
Morning Peak,Saturday,Clear,31.88,1.48,47.13,20.48,0.9
Night,Monday,Cloudy,58.41,0.87,50.81,15.71,0.97
Morning Peak,Wednesday,Cloudy,57.71,1.61,93.1,4.45,0.91
Midday,Thursday,Rainy,48.66,1.28,69.69,32.32,0.55
Night,Sunday,Stormy,56.62,0.85,69.41,22.5,0.88
Evening Peak,Sunday,Clear,45.35,1.52,68.99,37.47,0.35
Night,Thursday,Cloudy,54.78,0.94,51.66,10.95,0.86
Midday,Wednesday,Stormy,21.82,1.24,39.73,43.08,0.38
Midday,Tuesday,Clear,27.27,1.15,31.41,23.69,0.84
Night,Friday,Rainy,47.65,0.91,47.86,19.32,0.5
Night,Thursday,Clear,31.23,1.01,31.51,28.19,0.4
Morning Peak,Wednesday,Cloudy,51.87,1.75,90.78,44.49,0.26
Midday,Saturday,Clear,53.88,1.1,59.06,12.73,0.84
Night,Sunday,Rainy,24.99,0.94,26.32,34.34,0.57
Night,Wednesday,Cloudy,51.17,0.87,44.46,49.46,0.49
Midday,Tuesday,Clear,17.71,1.06,18.69,3.43,0.25
Night,Tuesday,Clear,26.71,1.03,27.6,9.03,0.86
Morning Peak,Monday,Clear,35.9,1.4,50.27,14.92,0.82
Midday,Thursday,Stormy,21.32,1.24,37.29,42.3,0.9
Morning Peak,Monday,Rainy,38.96,1.51,65.55,32.31,0.44
Morning Peak,Sunday,Clear,38.93,1.8,69.99,4.23,0.95
Morning Peak,Wednesday,Clear,20.35,1.4,28.46,46.44,0.81
Morning Peak,Friday,Cloudy,49.78,1.35,67.03,10.51,0.91
Midday,Friday,Rainy,41.58,1.02,47.91,24.19,0.79
Morning Peak,Tuesday,Rainy,25.89,1.72,50.98,0.5,0.94
Morning Peak,Friday,Clear,21.61,1.52,32.82,21.82,0.38
Night,Friday,Rainy,53.94,0.8,51.23,20.86,0.56
Midday,Sunday,Cloudy,51.79,1.26,65.38,31.38,0.53
Midday,Friday,Stormy,21.49,1.26,41.1,20.14,0.91
Evening Peak,Wednesday,Rainy,11.78,1.52,20.21,12.01,0.94
Midday,Friday,Rainy,50.23,1.07,67.33,17.4,0.85
Midday,Saturday,Rainy,40.78,1.11,57.62,18.25,0.97
Evening Peak,Friday,Clear,15.04,1.5,22.54,33.75,0.98
Midday,Friday,Rainy,39.37,1.15,55.54,13.61,0.88
Midday,Monday,Clear,32.61,1.05,34.11,19.99,0.97
Midday,Wednesday,Clear,48.73,1.07,52.28,20.71,0.94
Midday,Tuesday,Clear,20.45,1.29,26.42,2.89,0.81
Evening Peak,Monday,Rainy,32.66,1.26,45.64,19.01,0.76
Midday,Thursday,Clear,17.81,1.22,21.69,16.99,0.75
Midday,Wednesday,Clear,57.88,1.14,66.18,30.93,0.95
Evening Peak,Saturday,Clear,48.94,1.5,73.38,44.15,0.93
Night,Wednesday,Clear,46.84,1.0,46.76,17.4,0.85
Morning Peak,Thursday,Clear,44.51,1.52,67.64,3.69,0.65
Night,Thursday,Rainy,31.17,0.91,33.56,10.64,1.0
Evening Peak,Thursday,Rainy,56.16,1.5,103.91,5.37,0.99
Morning Peak,Sunday,Clear,13.65,1.46,19.94,11.83,0.97
Evening Peak,Tuesday,Rainy,50.16,1.52,98.48,22.8,0.54
Evening Peak,Friday,Rainy,20.76,1.47,39.43,12.35,0.97
Midday,Wednesday,Clear,26.2,1.17,30.74,44.16,0.8
Morning Peak,Sunday,Rainy,35.97,1.48,62.96,20.78,0.81
Midday,Friday,Stormy,49.13,1.06,77.44,0.92,0.34
Morning Peak,Friday,Clear,51.93,1.66,85.95,16.12,1.0
Evening Peak,Saturday,Clear,39.19,1.24,48.46,26.05,0.33
Evening Peak,Thursday,Rainy,30.15,1.59,61.21,39.58,0.64
Night,Tuesday,Cloudy,57.33,1.09,62.69,10.92,0.95
Morning Peak,Saturday,Clear,22.33,1.37,30.48,34.43,0.34
Midday,Monday,Cloudy,50.15,1.03,51.72,13.49,0.89
Night,Sunday,Cloudy,40.6,0.92,37.51,28.54,0.3
Night,Sunday,Rainy,28.84,1.09,39.78,60.19,0.7
Night,Tuesday,Cloudy,10.07,0.92,9.26,21.94,0.4
Midday,Friday,Clear,32.33,1.11,35.86,44.96,0.52
Night,Sunday,Cloudy,23.84,1.01,24.1,60.42,0.93
Midday,Tuesday,Cloudy,15.22,1.05,16.03,39.58,0.46
Night,Sunday,Clear,13.76,0.91,12.51,40.59,0.27
Midday,Sunday,Cloudy,27.38,1.09,29.77,8.96,0.82
Evening Peak,Thursday,Rainy,40.74,1.44,70.18,30.21,0.96
Evening Peak,Monday,Clear,51.88,1.27,65.63,6.57,0.9
Evening Peak,Thursday,Cloudy,19.18,1.42,27.22,19.11,0.96
Evening Peak,Monday,Clear,31.23,1.54,48.19,18.22,0.83
Evening Peak,Sunday,Clear,29.6,1.41,41.6,13.65,0.87
Night,Saturday,Clear,35.67,1.01,35.85,7.15,0.86
Night,Friday,Clear,50.48,0.82,41.52,7.88,1.0
Night,Sunday,Rainy,37.68,0.93,40.58,43.42,0.88
Midday,Monday,Clear,52.33,1.03,53.82,13.84,1.0
Midday,Monday,Rainy,35.93,1.18,47.79,35.18,0.73
Midday,Monday,Clear,40.19,1.08,43.58,20.21,0.82
Midday,Sunday,Stormy,31.87,1.09,50.07,25.16,0.81
Evening Peak,Tuesday,Cloudy,51.15,1.23,62.96,27.56,0.91
Evening Peak,Saturday,Rainy,56.19,1.32,92.6,47.53,0.94
Evening Peak,Tuesday,Clear,41.96,1.4,58.85,35.03,0.97
Morning Peak,Friday,Clear,51.04,1.59,81.27,17.88,0.83
Night,Sunday,Clear,12.95,0.82,10.62,3.33,0.79
Midday,Monday,Rainy,55.31,1.2,85.55,17.24,0.76
Midday,Saturday,Clear,19.45,1.15,22.3,27.23,0.83
Evening Peak,Saturday,Cloudy,22.83,1.41,32.29,11.27,0.88
Midday,Wednesday,Rainy,12.67,1.25,20.14,47.9,0.87
Midday,Friday,Clear,58.27,1.1,64.25,43.86,0.62
Night,Saturday,Rainy,52.6,0.85,51.14,34.66,0.53
Evening Peak,Sunday,Cloudy,55.66,1.42,79.08,34.74,0.93
Night,Monday,Rainy,52.36,1.08,70.57,69.97,0.45
Morning Peak,Monday,Clear,33.98,1.56,52.97,19.94,0.86
Morning Peak,Saturday,Clear,56.2,1.72,96.44,6.15,0.93
Morning Peak,Tuesday,Clear,58.47,1.68,98.15,26.13,0.95
Evening Peak,Friday,Rainy,35.13,1.41,57.24,7.38,0.79
Midday,Monday,Cloudy,18.78,1.19,22.43,37.89,0.85
Evening Peak,Saturday,Clear,42.93,1.36,58.5,18.54,0.78
Evening Peak,Monday,Rainy,58.77,1.41,102.65,36.95,0.83
Midday,Saturday,Clear,53.61,1.15,61.77,2.91,0.29
Night,Friday,Rainy,53.09,1.01,66.3,45.37,0.48
Morning Peak,Saturday,Stormy,56.69,1.5,117.89,9.29,0.75
Night,Wednesday,Rainy,54.7,0.83,52.06,7.77,0.82
Morning Peak,Saturday,Rainy,48.81,1.69,92.7,25.17,0.64
Evening Peak,Saturday,Clear,45.91,1.47,67.67,23.07,0.91
Morning Peak,Sunday,Clear,23.24,1.78,41.25,41.95,0.37
Evening Peak,Friday,Rainy,41.07,1.37,62.52,17.05,0.98
Night,Sunday,Clear,36.07,0.82,29.71,51.29,0.93
Evening Peak,Saturday,Clear,53.1,1.25,66.3,33.74,0.7
Night,Friday,Rainy,34.59,1.03,45.39,9.07,0.93
Midday,Wednesday,Clear,16.39,1.02,16.72,20.63,1.0
Midday,Friday,Rainy,10.25,1.27,14.47,27.43,0.35
Midday,Monday,Rainy,43.89,1.08,53.21,2.49,1.0
Evening Peak,Sunday,Rainy,37.5,1.56,67.12,35.41,0.68
Midday,Friday,Rainy,26.55,1.23,41.79,39.52,0.78
Morning Peak,Wednesday,Rainy,18.45,1.74,37.35,35.6,0.58
